Epoch,gpu_mem,GIoU,obj,cls,total,targets,img_size,P,R,mAP@0.5,F1,Val GIoU,Val objectness,Val classification,model,n_images
221/299,10.4G,0.795,1.38,0.0457,2.22,181,640,0.862,0.991,0.985,0.922,0.633,0.68,0.0106,YOLO v3,1000
222/299,10.4G,0.767,1.19,0.0313,1.99,142,448,0.866,0.991,0.985,0.924,0.632,0.676,0.0103,YOLO v3,1000
223/299,10.4G,0.757,1.23,0.0428,2.03,160,576,0.864,0.991,0.985,0.923,0.63,0.677,0.0103,YOLO v3,1000
224/299,10.4G,0.763,1.36,0.0366,2.16,155,480,0.864,0.99,0.985,0.923,0.634,0.681,0.0105,YOLO v3,1000
225/299,10.4G,0.777,1.21,0.0402,2.02,174,640,0.865,0.99,0.985,0.923,0.631,0.681,0.0104,YOLO v3,1000
226/299,10.4G,0.762,1.26,0.0379,2.06,187,576,0.865,0.99,0.985,0.923,0.629,0.678,0.0102,YOLO v3,1000
227/299,10.4G,0.765,1.27,0.0386,2.08,153,448,0.867,0.99,0.985,0.924,0.626,0.675,0.01,YOLO v3,1000
228/299,10.4G,0.742,1.1,0.0309,1.87,121,384,0.866,0.99,0.985,0.924,0.622,0.67,0.00968,YOLO v3,1000
229/299,10.4G,0.759,1.2,0.0353,1.99,122,352,0.867,0.99,0.986,0.924,0.619,0.665,0.00925,YOLO v3,1000
230/299,10.4G,0.717,1.11,0.0344,1.86,173,480,0.866,0.99,0.986,0.924,0.615,0.661,0.00912,YOLO v3,1000
231/299,10.4G,0.749,1.27,0.0484,2.07,117,448,0.868,0.99,0.986,0.925,0.616,0.66,0.0094,YOLO v3,1000
232/299,10.4G,0.741,1.16,0.0369,1.94,190,352,0.869,0.99,0.986,0.926,0.613,0.656,0.00976,YOLO v3,1000
233/299,10.4G,0.72,1.22,0.035,1.97,137,480,0.87,0.99,0.986,0.926,0.611,0.655,0.0102,YOLO v3,1000
234/299,10.4G,0.723,1.17,0.0323,1.92,155,384,0.871,0.99,0.986,0.927,0.611,0.655,0.0104,YOLO v3,1000
235/299,10.4G,0.724,1.2,0.0345,1.96,119,384,0.872,0.99,0.986,0.927,0.613,0.655,0.0107,YOLO v3,1000
236/299,10.4G,0.729,1.11,0.0301,1.87,167,320,0.872,0.99,0.986,0.927,0.609,0.651,0.0105,YOLO v3,1000
237/299,10.4G,0.721,1.18,0.0345,1.93,122,384,0.874,0.99,0.986,0.928,0.609,0.648,0.0106,YOLO v3,1000
238/299,10.4G,0.738,1.27,0.0335,2.04,140,480,0.874,0.99,0.986,0.928,0.61,0.647,0.0106,YOLO v3,1000
239/299,10.4G,0.727,1.25,0.0311,2.01,152,384,0.875,0.99,0.986,0.929,0.611,0.646,0.0105,YOLO v3,1000
240/299,10.4G,0.707,1.1,0.0276,1.84,106,576,0.875,0.99,0.986,0.929,0.61,0.645,0.0106,YOLO v3,1000
241/299,10.4G,0.739,1.21,0.0509,2,143,640,0.876,0.989,0.986,0.929,0.609,0.645,0.0107,YOLO v3,1000
242/299,10.4G,0.724,1.16,0.0381,1.92,119,576,0.877,0.989,0.986,0.929,0.606,0.644,0.0106,YOLO v3,1000
243/299,10.4G,0.732,1.07,0.0305,1.83,125,640,0.878,0.989,0.986,0.93,0.604,0.641,0.00992,YOLO v3,1000
244/299,10.4G,0.721,1.22,0.036,1.98,161,608,0.878,0.989,0.986,0.93,0.604,0.641,0.0095,YOLO v3,1000
245/299,10.4G,0.714,1.15,0.0323,1.89,125,352,0.878,0.99,0.986,0.93,0.603,0.64,0.00946,YOLO v3,1000
246/299,10.4G,0.719,1.19,0.0313,1.94,114,416,0.878,0.99,0.986,0.931,0.602,0.639,0.00949,YOLO v3,1000
247/299,10.4G,0.702,1.16,0.032,1.89,127,416,0.878,0.99,0.986,0.931,0.602,0.64,0.00967,YOLO v3,1000
248/299,10.4G,0.718,1.11,0.0298,1.86,162,352,0.878,0.99,0.986,0.931,0.601,0.638,0.00963,YOLO v3,1000
249/299,10.4G,0.698,1.13,0.0284,1.86,163,320,0.879,0.991,0.986,0.932,0.601,0.638,0.00958,YOLO v3,1000
250/299,10.4G,0.702,1.17,0.0265,1.9,152,320,0.879,0.991,0.986,0.931,0.601,0.639,0.00953,YOLO v3,1000
251/299,10.4G,0.703,1.13,0.0248,1.85,115,384,0.878,0.991,0.986,0.931,0.6,0.639,0.00953,YOLO v3,1000
252/299,10.4G,0.694,1.17,0.0254,1.89,156,480,0.88,0.991,0.986,0.932,0.6,0.639,0.00954,YOLO v3,1000
253/299,10.4G,0.687,1.13,0.025,1.84,117,512,0.88,0.991,0.986,0.932,0.6,0.64,0.00975,YOLO v3,1000
254/299,10.4G,0.722,1.21,0.0363,1.97,176,352,0.88,0.991,0.986,0.932,0.6,0.641,0.00948,YOLO v3,1000
255/299,10.4G,0.699,1.22,0.0283,1.94,157,576,0.881,0.991,0.986,0.933,0.602,0.642,0.00933,YOLO v3,1000
256/299,10.4G,0.684,1.06,0.0239,1.77,147,320,0.881,0.991,0.986,0.933,0.599,0.641,0.00925,YOLO v3,1000
257/299,10.4G,0.674,1.11,0.0262,1.81,196,480,0.882,0.991,0.986,0.933,0.598,0.64,0.00911,YOLO v3,1000
258/299,10.4G,0.674,1.1,0.026,1.8,158,448,0.881,0.991,0.986,0.933,0.597,0.641,0.00901,YOLO v3,1000
259/299,10.4G,0.681,1.04,0.0244,1.74,149,576,0.882,0.99,0.986,0.933,0.597,0.64,0.00885,YOLO v3,1000
260/299,10.4G,0.684,1.11,0.0281,1.82,139,544,0.881,0.99,0.986,0.932,0.596,0.64,0.00872,YOLO v3,1000
261/299,10.4G,0.697,1.1,0.0358,1.83,142,512,0.881,0.99,0.986,0.933,0.594,0.639,0.00868,YOLO v3,1000
262/299,10.4G,0.682,1.13,0.032,1.84,108,576,0.881,0.991,0.986,0.933,0.594,0.638,0.00871,YOLO v3,1000
263/299,10.4G,0.681,1.09,0.02,1.79,135,640,0.881,0.991,0.986,0.933,0.594,0.638,0.00872,YOLO v3,1000
264/299,10.4G,0.663,1.03,0.0243,1.72,135,480,0.881,0.991,0.986,0.933,0.592,0.636,0.00858,YOLO v3,1000
265/299,10.4G,0.67,1.08,0.0232,1.77,141,448,0.882,0.991,0.986,0.933,0.591,0.635,0.0085,YOLO v3,1000
266/299,10.4G,0.69,1.15,0.0328,1.87,147,608,0.882,0.991,0.986,0.933,0.591,0.635,0.00845,YOLO v3,1000
267/299,10.4G,0.678,1.13,0.0283,1.83,187,512,0.882,0.991,0.986,0.933,0.592,0.635,0.00838,YOLO v3,1000
268/299,10.4G,0.683,1.2,0.0298,1.91,122,608,0.883,0.991,0.986,0.933,0.593,0.634,0.00827,YOLO v3,1000
269/299,10.4G,0.678,1.17,0.0333,1.88,153,320,0.884,0.991,0.986,0.934,0.594,0.634,0.00809,YOLO v3,1000
270/299,10.4G,0.669,1.1,0.0282,1.8,150,608,0.883,0.991,0.986,0.934,0.593,0.633,0.00787,YOLO v3,1000
271/299,10.4G,0.643,1.03,0.0217,1.7,146,480,0.884,0.991,0.986,0.934,0.592,0.631,0.00771,YOLO v3,1000
272/299,10.4G,0.674,1.06,0.0251,1.76,127,416,0.884,0.991,0.986,0.934,0.591,0.63,0.00761,YOLO v3,1000
273/299,10.4G,0.668,0.988,0.0219,1.68,117,608,0.884,0.991,0.986,0.934,0.59,0.628,0.00749,YOLO v3,1000
274/299,10.4G,0.665,1.11,0.024,1.8,132,608,0.885,0.991,0.986,0.935,0.59,0.627,0.0074,YOLO v3,1000
275/299,10.4G,0.647,1.05,0.0179,1.72,117,352,0.885,0.991,0.986,0.935,0.588,0.625,0.00734,YOLO v3,1000
276/299,10.4G,0.677,1.11,0.0293,1.82,157,416,0.886,0.991,0.986,0.935,0.588,0.624,0.00736,YOLO v3,1000
277/299,10.4G,0.658,1.01,0.0239,1.69,212,320,0.886,0.991,0.986,0.935,0.586,0.622,0.00734,YOLO v3,1000
278/299,10.4G,0.646,1.06,0.0233,1.73,141,416,0.886,0.991,0.986,0.936,0.585,0.62,0.00729,YOLO v3,1000
279/299,10.4G,0.661,1.12,0.0249,1.81,149,320,0.886,0.991,0.987,0.936,0.585,0.62,0.00726,YOLO v3,1000
280/299,10.4G,0.667,1.1,0.0244,1.79,168,352,0.887,0.991,0.987,0.936,0.585,0.619,0.00727,YOLO v3,1000
281/299,10.4G,0.643,0.965,0.0193,1.63,131,480,0.887,0.991,0.987,0.936,0.583,0.617,0.00723,YOLO v3,1000
282/299,10.4G,0.637,1.01,0.0216,1.67,148,480,0.888,0.991,0.987,0.937,0.582,0.616,0.0072,YOLO v3,1000
283/299,10.4G,0.646,1.02,0.0199,1.68,152,512,0.888,0.991,0.987,0.937,0.581,0.615,0.00715,YOLO v3,1000
284/299,10.4G,0.625,0.971,0.0197,1.62,171,576,0.888,0.991,0.987,0.937,0.58,0.614,0.00709,YOLO v3,1000
285/299,10.4G,0.646,1.04,0.0251,1.71,169,448,0.888,0.991,0.987,0.937,0.579,0.613,0.00705,YOLO v3,1000
286/299,10.4G,0.642,1.09,0.0229,1.75,131,640,0.888,0.991,0.987,0.937,0.58,0.612,0.00705,YOLO v3,1000
287/299,10.4G,0.663,1.01,0.0221,1.69,110,608,0.889,0.991,0.987,0.937,0.579,0.611,0.00705,YOLO v3,1000
288/299,10.4G,0.638,1.01,0.0236,1.67,143,384,0.889,0.991,0.987,0.937,0.578,0.61,0.00705,YOLO v3,1000
289/299,10.4G,0.636,0.994,0.0269,1.66,167,640,0.889,0.991,0.987,0.937,0.578,0.61,0.0071,YOLO v3,1000
290/299,10.4G,0.64,1.02,0.02,1.68,158,448,0.889,0.991,0.987,0.937,0.577,0.609,0.00714,YOLO v3,1000
291/299,10.4G,0.664,1.1,0.0238,1.79,189,320,0.889,0.991,0.987,0.937,0.578,0.609,0.00719,YOLO v3,1000
292/299,10.4G,0.661,1.11,0.0332,1.81,147,448,0.889,0.991,0.987,0.937,0.578,0.609,0.0072,YOLO v3,1000
293/299,10.4G,0.655,1.05,0.0216,1.72,184,352,0.89,0.991,0.987,0.938,0.577,0.608,0.00715,YOLO v3,1000
294/299,10.4G,0.623,0.963,0.0215,1.61,142,320,0.889,0.991,0.987,0.937,0.575,0.607,0.00709,YOLO v3,1000
295/299,10.4G,0.65,1.05,0.0145,1.71,131,544,0.889,0.991,0.987,0.937,0.576,0.606,0.00703,YOLO v3,1000
296/299,10.4G,0.65,1.06,0.0228,1.74,128,320,0.889,0.991,0.987,0.937,0.575,0.606,0.00697,YOLO v3,1000
297/299,10.4G,0.642,1.07,0.0185,1.73,125,512,0.889,0.991,0.987,0.937,0.575,0.606,0.00694,YOLO v3,1000
298/299,10.4G,0.609,0.987,0.0174,1.61,129,480,0.889,0.992,0.987,0.938,0.575,0.605,0.00693,YOLO v3,1000
299/299,10.4G,0.621,1.05,0.0268,1.7,151,480,0.89,0.992,0.987,0.938,0.575,0.605,0.00696,YOLO v3,1000
0/299,10.3G,6.34,9.45,3.28,19.1,167,608,0.075,0.0447,0.0304,0.0467,4.2,6.02,2.98,YOLO v3,250
1/299,10.4G,4.09,6.92,3.11,14.1,166,320,0.0818,0.33,0.0973,0.105,3.11,4.52,2.95,YOLO v3,250
2/299,10.4G,3.65,5,3.05,11.7,143,544,0.26,0.428,0.211,0.275,3.39,2.86,2.77,YOLO v3,250
3/299,10.4G,3.24,4.57,3.01,10.8,146,384,0.247,0.503,0.251,0.287,2.64,2.8,2.67,YOLO v3,250
4/299,10.4G,3.07,4.53,2.72,10.3,134,352,0.305,0.672,0.47,0.413,2.58,2.6,1.95,YOLO v3,250
5/299,10.4G,3.37,4.18,2.21,9.75,139,512,0.403,0.651,0.447,0.469,2.65,2.29,1.6,YOLO v3,250
6/299,10.4G,3.1,3.86,1.81,8.78,126,320,0.308,0.768,0.546,0.434,2.68,2.46,1.38,YOLO v3,250
7/299,10.4G,3.06,3.53,1.54,8.13,122,576,0.323,0.727,0.548,0.437,2.76,2.48,1.16,YOLO v3,250
8/299,10.4G,3.31,3.49,1.42,8.22,139,320,0.436,0.695,0.55,0.525,2.7,2.19,1.75,YOLO v3,250
9/299,10.4G,2.98,3.21,1.42,7.61,110,640,0.51,0.687,0.572,0.571,2.65,2.22,1.16,YOLO v3,250
10/299,10.4G,2.88,3.62,1.34,7.85,150,416,0.472,0.586,0.542,0.436,2.56,2.29,2.52,YOLO v3,250
11/299,10.4G,2.83,2.99,1.34,7.17,167,640,0.427,0.714,0.54,0.509,2.58,2.33,1.74,YOLO v3,250
12/299,10.4G,2.67,3.85,1.27,7.79,151,320,0.309,0.791,0.542,0.436,2.45,2.39,1.01,YOLO v3,250
13/299,10.4G,2.7,3.77,1.18,7.65,164,320,0.356,0.716,0.504,0.431,2.43,2.64,1.92,YOLO v3,250
14/299,10.4G,2.63,3.87,1.04,7.54,181,416,0.384,0.799,0.636,0.514,2.3,2.41,1.02,YOLO v3,250
15/299,10.4G,2.52,3.53,1.09,7.15,159,352,0.461,0.811,0.695,0.584,2.47,2.18,0.877,YOLO v3,250
16/299,10.4G,2.51,3.53,1.01,7.05,104,384,0.401,0.696,0.571,0.466,2.38,2.28,1.14,YOLO v3,250
17/299,10.4G,2.46,3.82,0.917,7.19,148,320,0.415,0.858,0.663,0.548,2.17,2.34,0.96,YOLO v3,250
18/299,10.4G,2.45,2.73,0.848,6.03,150,608,0.482,0.668,0.58,0.489,2.23,2.23,2.18,YOLO v3,250
19/299,10.4G,2.33,3.81,0.844,6.98,179,320,0.519,0.755,0.701,0.605,2.21,2.2,0.922,YOLO v3,250
20/299,10.4G,2.37,3.54,0.713,6.62,148,544,0.467,0.792,0.667,0.586,2.17,2.23,0.655,YOLO v3,250
21/299,10.4G,2.28,3.54,0.735,6.55,150,352,0.473,0.84,0.682,0.593,2.08,2.25,0.75,YOLO v3,250
22/299,10.4G,2.27,3.28,0.657,6.2,149,448,0.523,0.76,0.696,0.614,2.06,2.2,0.878,YOLO v3,250
23/299,10.4G,2.21,3.27,0.983,6.46,119,416,0.461,0.706,0.622,0.538,1.99,2.2,1.24,YOLO v3,250
24/299,10.4G,2.25,3.17,0.839,6.26,96,640,0.485,0.81,0.673,0.587,2.34,2.23,0.902,YOLO v3,250
25/299,10.4G,2.25,3.38,0.766,6.4,139,352,0.462,0.82,0.7,0.573,2.01,2.26,0.69,YOLO v3,250
26/299,10.4G,2.21,3.34,0.738,6.29,102,320,0.398,0.831,0.636,0.522,1.87,2.23,1.59,YOLO v3,250
27/299,10.4G,2.15,3.21,0.59,5.96,183,608,0.446,0.84,0.689,0.574,1.95,2.16,0.737,YOLO v3,250
28/299,10.4G,2.17,2.56,0.659,5.38,129,544,0.461,0.824,0.675,0.573,2.07,2.18,1.42,YOLO v3,250
29/299,10.4G,2.18,2.96,0.68,5.82,144,576,0.477,0.858,0.729,0.613,1.88,2.16,0.646,YOLO v3,250
30/299,10.4G,2.06,3.26,0.549,5.87,144,352,0.456,0.823,0.675,0.572,1.82,2.21,1.33,YOLO v3,250
31/299,10.4G,2.1,3.31,0.597,6.01,151,480,0.541,0.829,0.756,0.653,1.99,2.21,0.721,YOLO v3,250
32/299,10.4G,2.09,2.81,0.539,5.44,159,416,0.474,0.828,0.689,0.587,2.08,2.19,1.06,YOLO v3,250
33/299,10.4G,2.11,2.91,0.531,5.55,159,320,0.44,0.863,0.696,0.563,1.97,2.21,0.773,YOLO v3,250
34/299,10.4G,2.01,2.8,0.553,5.36,188,512,0.495,0.836,0.727,0.621,2.03,2.2,0.805,YOLO v3,250
35/299,10.4G,2.13,3.46,0.609,6.19,135,384,0.493,0.788,0.689,0.592,1.87,2.21,0.828,YOLO v3,250
36/299,10.4G,2.07,2.92,0.623,5.62,133,320,0.458,0.832,0.719,0.575,1.87,2.24,0.866,YOLO v3,250
37/299,10.4G,2.01,3.34,0.576,5.92,133,576,0.437,0.847,0.699,0.565,1.88,2.26,0.79,YOLO v3,250
38/299,10.4G,2.06,2.76,0.502,5.32,190,640,0.513,0.86,0.735,0.637,1.84,2.13,0.611,YOLO v3,250
39/299,10.4G,2.03,3.03,0.625,5.68,154,320,0.513,0.832,0.682,0.616,1.86,2.18,0.889,YOLO v3,250
40/299,10.4G,2.01,3.17,0.681,5.85,144,320,0.485,0.757,0.641,0.568,1.88,2.22,0.92,YOLO v3,250
41/299,10.4G,1.95,2.59,0.673,5.21,140,576,0.414,0.857,0.664,0.543,1.92,2.32,0.59,YOLO v3,250
42/299,10.4G,1.93,3.29,0.559,5.78,176,384,0.514,0.808,0.706,0.627,1.91,2.26,0.567,YOLO v3,250
43/299,10.4G,2.01,3.09,0.513,5.61,127,352,0.524,0.848,0.747,0.644,1.86,2.17,0.661,YOLO v3,250
44/299,10.4G,1.96,3.31,0.493,5.77,152,416,0.496,0.823,0.721,0.618,1.83,2.31,0.533,YOLO v3,250
45/299,10.4G,1.94,3.19,0.513,5.64,147,384,0.463,0.829,0.694,0.59,1.83,2.28,0.878,YOLO v3,250
46/299,10.4G,1.89,3.03,0.425,5.35,113,448,0.505,0.86,0.744,0.635,1.84,2.26,0.435,YOLO v3,250
47/299,10.4G,1.92,2.76,0.463,5.14,158,384,0.485,0.847,0.727,0.605,1.76,2.18,0.793,YOLO v3,250
48/299,10.4G,1.88,2.8,0.414,5.09,143,640,0.498,0.876,0.762,0.634,1.95,2.26,0.459,YOLO v3,250
49/299,10.4G,1.89,2.94,0.426,5.25,155,512,0.529,0.798,0.703,0.633,1.82,2.3,0.565,YOLO v3,250
50/299,10.4G,1.85,2.49,0.348,4.69,142,576,0.588,0.794,0.748,0.673,1.85,2.27,0.615,YOLO v3,250
51/299,10.4G,1.88,2.9,0.395,5.17,163,352,0.553,0.819,0.736,0.653,1.84,2.18,0.799,YOLO v3,250
52/299,10.4G,1.84,2.77,0.356,4.96,151,384,0.533,0.85,0.755,0.651,1.76,2.21,0.505,YOLO v3,250
53/299,10.4G,1.81,2.57,0.341,4.72,146,416,0.544,0.868,0.772,0.668,1.82,2.15,0.425,YOLO v3,250
54/299,10.4G,1.83,2.69,0.37,4.9,125,608,0.511,0.824,0.716,0.627,1.92,2.25,0.713,YOLO v3,250
55/299,10.4G,1.86,2.52,0.353,4.73,153,320,0.568,0.819,0.725,0.667,1.87,2.29,0.503,YOLO v3,250
56/299,10.4G,1.9,2.79,0.407,5.09,146,448,0.515,0.845,0.733,0.638,1.78,2.23,0.756,YOLO v3,250
57/299,10.4G,1.85,2.74,0.491,5.09,143,480,0.535,0.854,0.739,0.655,1.82,2.29,0.504,YOLO v3,250
58/299,10.4G,1.77,2.65,0.377,4.8,141,640,0.615,0.817,0.748,0.701,1.88,2.26,0.524,YOLO v3,250
59/299,10.4G,1.82,2.38,0.321,4.53,151,608,0.608,0.835,0.768,0.7,1.83,2.22,0.558,YOLO v3,250
60/299,10.4G,1.8,2.56,0.321,4.68,161,448,0.577,0.82,0.744,0.672,1.84,2.24,0.598,YOLO v3,250
61/299,10.4G,1.78,2.37,0.342,4.5,143,320,0.524,0.886,0.773,0.652,1.76,2.18,0.517,YOLO v3,250
62/299,10.4G,1.74,2.67,0.359,4.78,120,576,0.605,0.839,0.773,0.701,1.75,2.26,0.496,YOLO v3,250
63/299,10.4G,1.83,2.88,0.509,5.23,148,320,0.54,0.854,0.758,0.661,1.84,2.32,0.765,YOLO v3,250
64/299,10.4G,1.73,2.55,0.378,4.66,161,512,0.556,0.845,0.734,0.665,1.77,2.34,0.649,YOLO v3,250
65/299,10.4G,1.83,2.41,0.277,4.52,163,384,0.578,0.801,0.725,0.671,1.82,2.34,0.599,YOLO v3,250
66/299,10.4G,1.7,2.43,0.304,4.43,140,608,0.513,0.862,0.734,0.639,1.73,2.24,0.641,YOLO v3,250
67/299,10.4G,1.76,2.87,0.352,4.99,154,384,0.571,0.828,0.761,0.668,1.75,2.19,0.572,YOLO v3,250
68/299,10.4G,1.7,2.44,0.344,4.49,158,576,0.537,0.852,0.762,0.657,1.76,2.22,0.632,YOLO v3,250
69/299,10.4G,1.73,2.14,0.304,4.18,119,448,0.561,0.869,0.778,0.681,1.79,2.2,0.436,YOLO v3,250
70/299,10.4G,1.79,3.19,0.413,5.4,188,640,0.588,0.812,0.756,0.681,1.82,2.36,0.427,YOLO v3,250
71/299,10.4G,1.67,2.39,0.364,4.42,150,352,0.572,0.809,0.731,0.661,1.79,2.3,0.502,YOLO v3,250
72/299,10.4G,1.68,2.6,0.402,4.69,156,416,0.508,0.856,0.731,0.636,1.78,2.38,0.39,YOLO v3,250
73/299,10.4G,1.62,2.23,0.284,4.14,122,544,0.534,0.809,0.71,0.636,1.77,2.33,0.511,YOLO v3,250
74/299,10.4G,1.71,2.78,0.34,4.83,145,544,0.544,0.832,0.75,0.654,1.78,2.38,0.522,YOLO v3,250
75/299,10.4G,1.7,2.59,0.387,4.67,148,608,0.532,0.844,0.745,0.648,1.79,2.29,0.602,YOLO v3,250
76/299,10.4G,1.68,2.62,0.286,4.59,137,480,0.558,0.806,0.698,0.644,1.82,2.29,1.51,YOLO v3,250
77/299,10.4G,1.7,2.11,0.33,4.14,94,544,0.541,0.876,0.748,0.665,1.79,2.3,0.662,YOLO v3,250
78/299,10.4G,1.68,2.58,0.342,4.61,149,416,0.56,0.829,0.736,0.66,1.78,2.28,0.806,YOLO v3,250
79/299,10.4G,1.69,2.5,0.285,4.47,145,352,0.521,0.841,0.734,0.639,1.78,2.24,0.552,YOLO v3,250
80/299,10.4G,1.62,2.17,0.229,4.02,145,640,0.569,0.83,0.748,0.67,1.76,2.28,0.667,YOLO v3,250
81/299,10.4G,1.63,2.33,0.296,4.26,163,576,0.539,0.835,0.726,0.652,1.73,2.3,0.695,YOLO v3,250
82/299,10.4G,1.67,2.6,0.343,4.61,177,416,0.565,0.818,0.717,0.665,1.8,2.4,0.513,YOLO v3,250
83/299,10.4G,1.63,2.26,0.243,4.13,124,640,0.563,0.837,0.751,0.672,1.77,2.32,0.449,YOLO v3,250
84/299,10.4G,1.61,2.39,0.25,4.25,142,576,0.563,0.855,0.741,0.679,1.72,2.31,0.396,YOLO v3,250
85/299,10.4G,1.62,2.19,0.252,4.07,129,512,0.592,0.846,0.774,0.693,1.73,2.33,0.507,YOLO v3,250
86/299,10.4G,1.59,2.34,0.241,4.16,169,640,0.536,0.842,0.746,0.652,1.74,2.35,0.628,YOLO v3,250
87/299,10.4G,1.61,2.4,0.269,4.29,143,320,0.573,0.837,0.754,0.675,1.7,2.25,0.715,YOLO v3,250
88/299,10.4G,1.61,2.77,0.332,4.71,152,640,0.537,0.834,0.72,0.653,1.8,2.35,0.605,YOLO v3,250
89/299,10.4G,1.62,2.45,0.236,4.31,144,480,0.534,0.827,0.72,0.646,1.82,2.43,0.565,YOLO v3,250
90/299,10.4G,1.63,2.15,0.281,4.06,158,544,0.556,0.827,0.734,0.66,1.84,2.36,0.634,YOLO v3,250
91/299,10.4G,1.59,2.43,0.373,4.39,153,576,0.535,0.84,0.712,0.653,1.74,2.29,0.759,YOLO v3,250
92/299,10.4G,1.6,2.71,0.332,4.64,147,512,0.583,0.72,0.671,0.624,1.77,2.45,1.09,YOLO v3,250
93/299,10.4G,1.56,2.26,0.284,4.1,122,512,0.587,0.831,0.754,0.685,1.78,2.35,0.434,YOLO v3,250
94/299,10.4G,1.6,2.34,0.269,4.21,141,480,0.581,0.851,0.765,0.69,1.76,2.3,0.506,YOLO v3,250
95/299,10.4G,1.54,2.22,0.229,3.99,154,544,0.574,0.842,0.758,0.682,1.72,2.35,0.655,YOLO v3,250
96/299,10.4G,1.58,2.27,0.223,4.07,167,544,0.563,0.845,0.754,0.672,1.67,2.31,0.582,YOLO v3,250
97/299,10.4G,1.55,2.39,0.22,4.16,133,576,0.606,0.793,0.744,0.684,1.73,2.39,0.553,YOLO v3,250
98/299,10.4G,1.53,2.11,0.232,3.87,157,640,0.58,0.845,0.761,0.683,1.69,2.33,0.436,YOLO v3,250
99/299,10.4G,1.54,2.4,0.261,4.2,142,448,0.54,0.854,0.749,0.661,1.67,2.37,0.469,YOLO v3,250
100/299,10.4G,1.58,2.29,0.243,4.11,136,544,0.59,0.836,0.754,0.69,1.74,2.47,0.357,YOLO v3,250
101/299,10.4G,1.53,2.23,0.256,4.02,121,512,0.609,0.804,0.748,0.688,1.73,2.39,0.718,YOLO v3,250
102/299,10.4G,1.59,2.22,0.244,4.06,155,576,0.62,0.794,0.754,0.692,1.75,2.41,0.519,YOLO v3,250
103/299,10.4G,1.52,2.11,0.236,3.87,141,576,0.568,0.845,0.748,0.679,1.72,2.33,0.48,YOLO v3,250
104/299,10.4G,1.52,2.09,0.222,3.82,142,480,0.572,0.83,0.742,0.675,1.62,2.37,0.545,YOLO v3,250
105/299,10.4G,1.53,2.08,0.204,3.82,110,640,0.559,0.825,0.732,0.666,1.72,2.43,0.463,YOLO v3,250
106/299,10.4G,1.51,2.17,0.201,3.88,139,352,0.613,0.839,0.757,0.706,1.76,2.41,0.431,YOLO v3,250
107/299,10.4G,1.47,2.11,0.246,3.82,160,640,0.574,0.839,0.731,0.678,1.76,2.43,0.615,YOLO v3,250
108/299,10.4G,1.48,2.38,0.224,4.09,156,448,0.588,0.812,0.733,0.678,1.73,2.44,0.541,YOLO v3,250
109/299,10.4G,1.53,2.02,0.208,3.76,140,480,0.61,0.824,0.767,0.7,1.72,2.37,0.424,YOLO v3,250
110/299,10.4G,1.51,2.3,0.23,4.04,123,608,0.608,0.832,0.762,0.701,1.75,2.4,0.44,YOLO v3,250
111/299,10.4G,1.5,2.49,0.228,4.22,125,320,0.582,0.848,0.772,0.689,1.73,2.43,0.383,YOLO v3,250
112/299,10.4G,1.45,2.02,0.177,3.65,119,576,0.582,0.851,0.765,0.688,1.79,2.45,0.422,YOLO v3,250
113/299,10.4G,1.49,2.32,0.2,4,149,512,0.592,0.848,0.774,0.697,1.78,2.37,0.43,YOLO v3,250
114/299,10.4G,1.42,2.2,0.203,3.83,140,448,0.63,0.785,0.756,0.697,1.75,2.48,0.463,YOLO v3,250
115/299,10.4G,1.46,2.06,0.216,3.74,173,576,0.569,0.831,0.75,0.674,1.72,2.44,0.497,YOLO v3,250
116/299,10.4G,1.45,2.16,0.291,3.91,146,640,0.585,0.842,0.745,0.689,1.77,2.43,0.519,YOLO v3,250
117/299,10.4G,1.44,2.43,0.248,4.12,123,512,0.589,0.815,0.727,0.677,1.7,2.45,0.659,YOLO v3,250
118/299,10.4G,1.45,2,0.201,3.65,159,320,0.562,0.836,0.742,0.67,1.72,2.39,0.476,YOLO v3,250
119/299,10.4G,1.47,2.5,0.214,4.18,152,512,0.591,0.83,0.739,0.689,1.73,2.45,0.53,YOLO v3,250
120/299,10.4G,1.42,2.11,0.211,3.74,115,640,0.605,0.802,0.725,0.688,1.71,2.41,0.574,YOLO v3,250
121/299,10.4G,1.42,2.12,0.164,3.7,124,480,0.642,0.821,0.761,0.719,1.71,2.43,0.41,YOLO v3,250
122/299,10.4G,1.44,2.42,0.195,4.05,192,576,0.616,0.802,0.746,0.697,1.76,2.52,0.477,YOLO v3,250
123/299,10.4G,1.49,2.27,0.196,3.95,147,352,0.647,0.788,0.752,0.709,1.72,2.51,0.422,YOLO v3,250
124/299,10.4G,1.46,2.39,0.213,4.06,145,480,0.579,0.787,0.723,0.664,1.75,2.57,0.6,YOLO v3,250
125/299,10.4G,1.42,2.18,0.188,3.79,146,320,0.581,0.824,0.733,0.679,1.7,2.47,0.534,YOLO v3,250
126/299,10.4G,1.4,2.03,0.181,3.61,178,480,0.612,0.811,0.741,0.695,1.71,2.48,0.391,YOLO v3,250
127/299,10.4G,1.41,2.06,0.217,3.68,184,608,0.57,0.828,0.753,0.674,1.71,2.45,0.611,YOLO v3,250
